"","Squad","Country","LgRk","GF_90","xGF_90","diff_GF","GA_90","xGA_90","diff_GA","GD_90","xGD_90","diff_GD"
"16","Sevilla","ESP",4,1.39473684210526,1.15,0.244736842105263,0.789473684210526,1.01052631578947,-0.221052631578947,0.605263157894737,0.14,0.465263157894737
"17","Juventus","ITA",4,1.5,1.35526315789474,0.144736842105263,0.973684210526316,1,-0.0263157894736842,0.526315789473684,0.35,0.176315789473684
"18","Monaco","FRA",3,1.71052631578947,1.52631578947368,0.184210526315789,1.05263157894737,1.10526315789474,-0.0526315789473686,0.657894736842105,0.42,0.237894736842105
"19","Arsenal","ENG",5,1.60526315789474,1.57631578947368,0.0289473684210528,1.26315789473684,1.23947368421053,0.0236842105263158,0.342105263157895,0.34,0.00210526315789489
"20","Rennes","FRA",4,2.15789473684211,1.63947368421053,0.518421052631579,1.05263157894737,1.07105263157895,-0.0184210526315791,1.10526315789474,0.57,0.535263157894737
"21","Nice","FRA",5,1.36842105263158,1.5,-0.131578947368421,0.947368421052632,1.18684210526316,-0.239473684210526,0.421052631578947,0.31,0.111052631578947
"22","RB Leipzig","GER",4,2.11764705882353,1.86470588235294,0.252941176470588,1.08823529411765,1.22941176470588,-0.141176470588235,1.02941176470588,0.64,0.389411764705882
"23","Betis","ESP",5,1.63157894736842,1.45,0.181578947368421,1.05263157894737,1.16315789473684,-0.110526315789474,0.578947368421053,0.29,0.288947368421053
"24","Lazio","ITA",5,2.02631578947368,1.46842105263158,0.557894736842105,1.52631578947368,1.27105263157895,0.255263157894737,0.5,0.2,0.3
"25","Union Berlin","GER",5,1.47058823529412,1.48529411764706,-0.0147058823529411,1.29411764705882,1.22352941176471,0.0705882352941176,0.176470588235294,0.26,-0.0835294117647059
"26","Strasbourg","FRA",6,1.57894736842105,1.56052631578947,0.0184210526315791,1.13157894736842,1.12105263157895,0.0105263157894737,0.447368421052632,0.44,0.00736842105263164
"27","Roma","ITA",6,1.55263157894737,1.67631578947368,-0.123684210526316,1.13157894736842,1.01315789473684,0.118421052631579,0.421052631578947,0.66,-0.238947368421053
"28","Lens","FRA",7,1.63157894736842,1.38947368421053,0.242105263157895,1.26315789473684,1.11578947368421,0.147368421052632,0.368421052631579,0.27,0.098421052631579
"29","Fiorentina","ITA",7,1.55263157894737,1.54736842105263,0.00526315789473686,1.34210526315789,1.16052631578947,0.181578947368421,0.210526315789474,0.39,-0.179473684210526
"30","Real Sociedad","ESP",6,1.05263157894737,1.41578947368421,-0.363157894736842,0.973684210526316,1.04736842105263,-0.0736842105263157,0.0789473684210525,0.37,-0.291052631578947
"31","Freiburg","GER",6,1.70588235294118,1.46764705882353,0.238235294117647,1.35294117647059,1.32647058823529,0.0264705882352942,0.352941176470588,0.14,0.212941176470588
"32","Lyon","FRA",8,1.73684210526316,1.85263157894737,-0.115789473684211,1.34210526315789,1.43421052631579,-0.0921052631578947,0.394736842105263,0.42,-0.0252631578947367
"33","Villarreal","ESP",7,1.65789473684211,1.64473684210526,0.0131578947368423,0.973684210526316,1.22368421052632,-0.25,0.684210526315789,0.42,0.26421052631579
"34","Atalanta","ITA",8,1.71052631578947,1.74210526315789,-0.0315789473684212,1.26315789473684,1.18947368421053,0.0736842105263156,0.447368421052632,0.55,-0.102631578947368
"35","Köln","GER",7,1.52941176470588,1.49705882352941,0.0323529411764705,1.44117647058824,1.52647058823529,-0.0852941176470587,0.088235294117647,-0.03,0.118235294117647
"36","Manchester Utd","ENG",6,1.5,1.44210526315789,0.0578947368421054,1.5,1.43421052631579,0.0657894736842106,0,0.01,-0.01
"37","West Ham","ENG",7,1.57894736842105,1.31315789473684,0.265789473684211,1.34210526315789,1.34210526315789,0,0.236842105263158,-0.03,0.266842105263158
"38","Nantes","FRA",9,1.44736842105263,1.15526315789474,0.292105263157895,1.26315789473684,1.45789473684211,-0.194736842105263,0.18421052631579,-0.3,0.48421052631579
"39","Athletic Club","ESP",8,1.13157894736842,1.31842105263158,-0.186842105263158,0.947368421052632,1.00789473684211,-0.0605263157894737,0.184210526315789,0.31,-0.125789473684211
"40","Lille","FRA",10,1.26315789473684,1.37894736842105,-0.115789473684211,1.26315789473684,1.06315789473684,0.2,0,0.32,-0.32
