"","Squad","Country","LgRk","Pts.G","GF.90","xGF.90","GA.90","xGA.90","GD.90","xGD.90"
"38","Nantes","FRA",9,1.45,1.44736842105263,1.15526315789474,1.26315789473684,1.45789473684211,0.18421052631579,-0.3
"39","Athletic Club","ESP",8,1.45,1.13157894736842,1.31842105263158,0.947368421052632,1.00789473684211,0.184210526315789,0.31
"40","Lille","FRA",10,1.45,1.26315789473684,1.37894736842105,1.26315789473684,1.06315789473684,0,0.32
"41","Hellas Verona","ITA",9,1.39,1.71052631578947,1.36315789473684,1.55263157894737,1.28684210526316,0.157894736842105,0.08
"42","Leicester City","ENG",8,1.37,1.63157894736842,1.33684210526316,1.55263157894737,1.60526315789474,0.0789473684210527,-0.27
"43","Mainz 05","GER",8,1.35,1.47058823529412,1.5,1.32352941176471,1.35294117647059,0.147058823529412,0.15
"44","Hoffenheim","GER",9,1.35,1.70588235294118,1.62058823529412,1.76470588235294,1.54411764705882,-0.0588235294117647,0.07
"45","Brighton","ENG",9,1.34,1.10526315789474,1.21052631578947,1.15789473684211,1.2,-0.0526315789473684,0.01
"46","Wolves","ENG",10,1.34,1,0.944736842105263,1.13157894736842,1.58684210526316,-0.131578947368421,-0.64
"47","Torino","ITA",10,1.32,1.21052631578947,1.28421052631579,1.07894736842105,1.05,0.131578947368421,0.23
"48","Sassuolo","ITA",11,1.32,1.68421052631579,1.47368421052632,1.73684210526316,1.76315789473684,-0.0526315789473686,-0.29
"49","M'Gladbach","GER",10,1.32,1.58823529411765,1.69705882352941,1.79411764705882,1.60882352941176,-0.205882352941177,0.09
"50","Newcastle Utd","ENG",11,1.29,1.15789473684211,1.06052631578947,1.63157894736842,1.45789473684211,-0.473684210526316,-0.4
"51","Crystal Palace","ENG",12,1.26,1.31578947368421,1.22105263157895,1.21052631578947,1.07894736842105,0.105263157894737,0.14
"52","Valencia","ESP",9,1.26,1.26315789473684,1.03421052631579,1.39473684210526,1.24210526315789,-0.131578947368421,-0.21
"53","Brest","FRA",11,1.26,1.28947368421053,1.18947368421053,1.5,1.55789473684211,-0.210526315789474,-0.37
"54","Udinese","ITA",12,1.24,1.60526315789474,1.39736842105263,1.52631578947368,1.36842105263158,0.0789473684210527,0.03
"55","Eint Frankfurt","GER",11,1.24,1.32352941176471,1.3,1.44117647058824,1.51470588235294,-0.117647058823529,-0.21
"56","Wolfsburg","GER",12,1.24,1.26470588235294,1.43529411764706,1.58823529411765,1.46470588235294,-0.323529411764706,-0.03
"57","Bochum","GER",13,1.24,1.11764705882353,1.20294117647059,1.52941176470588,1.67058823529412,-0.411764705882353,-0.47
"58","Osasuna","ESP",10,1.24,0.973684210526316,0.976315789473684,1.34210526315789,1.19473684210526,-0.368421052631579,-0.22
"59","Celta Vigo","ESP",11,1.21,1.13157894736842,1.16578947368421,1.13157894736842,1.22368421052632,0,-0.06
"60","Reims","FRA",12,1.21,1.13157894736842,1.01842105263158,1.15789473684211,1.29210526315789,-0.0263157894736843,-0.27
